Title,Contest ID,Problem ID,Difficulty,Tags
Tree Destruction,2050,G,N/A,"dfs and similar, dp, trees"
Maximum modulo equality,2050,F,N/A,"data structures, math, number theory"
Three Strings,2050,E,N/A,"dp, implementation, strings"
Digital string maximization,2050,D,N/A,"brute force, greedy, math, strings"
Uninteresting Number,2050,C,N/A,"brute force, dp, math"
Transfusion,2050,B,N/A,"brute force, greedy, math"
Line Breaks,2050,A,N/A,implementation
Replace Character,2047,B,N/A,"brute force, combinatorics, greedy, strings"
Alyona and a Square Jigsaw Puzzle,2047,A,N/A,"implementation, math"
Yandex Cuneiform (Hard Version),2046,F2,N/A,"constructive algorithms, data structures, greedy, implementation"
Yandex Cuneiform (Easy Version),2046,F1,N/A,"constructive algorithms, data structures, greedy"
Cheops and a Contest (Hard Version),2046,E2,N/A,"greedy, implementation"
Cheops and a Contest (Easy Version),2046,E1,N/A,"constructive algorithms, greedy"
For the Emperor!,2046,D,N/A,"flows, graphs"
Adventurers,2046,C,N/A,"binary search, data structures, greedy, sortings, ternary search, two pointers"
Move Back at a Cost,2046,B,N/A,"binary search, data structures, greedy, sortings"
Swap Columns and Find a Path,2046,A,N/A,"greedy, sortings"
Mirror Maze,2045,M,N/A,"brute force, dfs and similar, graphs, implementation"
Buggy DFS,2045,L,N/A,constructive algorithms
GCDDCG,2045,K,N/A,
Xorderable Array,2045,J,N/A,"bitmasks, data structures"
Microwavable Subsequence,2045,I,N/A,data structures
Missing Separators,2045,H,N/A,"dp, sortings, string suffix structures, strings"
X Aura,2045,G,N/A,"graphs, math, shortest paths"
Grid Game 3-angle,2045,F,N/A,"games, math"
Narrower Passageway,2045,E,N/A,"combinatorics, data structures"
Aquatic Dragon,2045,D,N/A,
Saraga,2045,C,N/A,"greedy, strings"
ICPC Square,2045,B,N/A,"math, number theory"
Scrambled Scrabble,2045,A,N/A,"brute force, greedy"
Two Subarrays,2042,F,N/A,"data structures, dp, implementation, matrices"
Vertex Pairs,2042,E,N/A,"binary search, brute force, data structures, dfs and similar, divide and conquer, greedy, implementation, trees"
Recommendations,2042,D,N/A,"data structures, implementation, sortings, two pointers"
Competitive Fishing,2042,C,N/A,greedy
Game with Colored Marbles,2042,B,N/A,"games, greedy"
Greedy Monocarp,2042,A,N/A,"greedy, sortings"
Railway Construction,2041,N,N/A,
Selection Sort,2041,M,N/A,"binary search, data structures, greedy, two pointers"
Building Castle,2041,L,N/A,
Trophic Balance Species,2041,K,N/A,"binary search, brute force, dfs and similar, graphs"
Bottle Arrangement,2041,J,N/A,"data structures, divide and conquer, dp, dsu, greedy"
Auto Complete,2041,I,N/A,"binary search, data structures, hashing, implementation, sortings, strings, trees"
Sheet Music,2041,H,N/A,"combinatorics, dp, math"
Grid Game,2041,G,N/A,
Segmentation Folds,2041,F,N/A,"brute force, dfs and similar, number theory"
Beautiful Array,2041,E,N/A,"constructive algorithms, math"
Drunken Maze,2041,D,N/A,"brute force, dfs and similar, graphs, shortest paths"
Cube,2041,C,N/A,"bitmasks, dfs and similar, dp"
Bowling Frame,2041,B,N/A,"binary search, brute force, math"
The Bento Box Adventure,2041,A,N/A,"implementation, sortings"
Number of Cubes,2040,F,N/A,"combinatorics, math, number theory"
Control of Randomness,2040,E,N/A,"combinatorics, dfs and similar, graphs, greedy, math, probabilities, trees"
Non Prime Tree,2040,D,N/A,"brute force, constructive algorithms, dfs and similar, greedy, number theory, trees, two pointers"
Ordered Permutations,2040,C,N/A,"constructive algorithms, greedy, math"
Paint a Strip,2040,B,N/A,"constructive algorithms, greedy, math"
Game of Division,2040,A,N/A,"brute force, games, math"
Cool Swap Walk (Hard Version),2039,H2,N/A,"constructive algorithms, constructive algorithms, constructive algorithms, implementation, sortings"
Cool Swap Walk (Easy Version),2039,H1,N/A,"constructive algorithms, implementation, sortings"
Shohag Loves Pebae,2039,G,N/A,"math, number theory"
Shohag Loves Counting (Hard Version),2039,F2,N/A,"dp, number theory"
Shohag Loves Counting (Easy Version),2039,F1,N/A,"combinatorics, dp, math, number theory"
Shohag Loves Inversions,2039,E,N/A,"combinatorics, dp, implementation, math"
Shohag Loves GCD,2039,D,N/A,"constructive algorithms, greedy, math, number theory"
Shohag Loves XOR (Hard Version),2039,C2,N/A,"bitmasks, brute force, math, number theory"
Shohag Loves XOR (Easy Version),2039,C1,N/A,"bitmasks, brute force, math, number theory"
Shohag Loves Strings,2039,B,N/A,"constructive algorithms, greedy, implementation, strings"
Shohag Loves Mod,2039,A,N/A,"constructive algorithms, number theory"
Fixing the Expression,2038,N,N/A,implementation
Royal Flush,2038,M,N/A,"dp, implementation"
Bridge Renovation,2038,L,N/A,"brute force, dp, greedy, math, two pointers"
Grid Walk,2038,K,N/A,"brute force, dp, greedy, math, number theory"
Waiting for...,2038,J,N/A,"greedy, implementation"
Polyathlon,2038,I,N/A,"binary search, data structures, hashing, string suffix structures, strings"
Galactic Council,2038,H,N/A,flows
Guess One Character,2038,G,N/A,"constructive algorithms, implementation, interactive"
Alternative Platforms,2038,F,N/A,"combinatorics, data structures, fft, math, sortings"
Barrels,2038,E,N/A,"data structures, greedy, math"
Divide OR Conquer,2038,D,N/A,"binary search, bitmasks, data structures, dp, implementation"
DIY,2038,C,N/A,"data structures, geometry, greedy, sortings"
Make It Equal,2038,B,N/A,"binary search, brute force, greedy, math"
Bonus Project,2038,A,N/A,"games, greedy"
Natlan Exploring,2037,G,N/A,"bitmasks, combinatorics, data structures, dp, math, number theory"
Ardent Flames,2037,F,N/A,"binary search, data structures, math, sortings, two pointers"
Kachina's Favorite Binary String,2037,E,N/A,"dp, greedy, interactive, two pointers"
Sharky Surfing,2037,D,N/A,"data structures, greedy, two pointers"
Superultra's Favorite Permutation,2037,C,N/A,"constructive algorithms, greedy, math, number theory"
Intercepted Inputs,2037,B,N/A,"brute force, implementation"
Twice,2037,A,N/A,implementation
Library of Magic,2036,G,N/A,"binary search, constructive algorithms, divide and conquer, interactive, math, number theory"
XORificator 3000,2036,F,N/A,"bitmasks, dp, number theory, two pointers"
Reverse the Rivers,2036,E,N/A,"binary search, constructive algorithms, data structures, greedy"
I Love 1543,2036,D,N/A,"brute force, implementation, matrices"
Anya and 1100,2036,C,N/A,"brute force, implementation"
Startup,2036,B,N/A,"greedy, sortings"
Quintomania,2036,A,N/A,implementation
Peak Productivity Forces,2035,H,N/A,constructive algorithms
Go Learn! (Hard Version),2035,G2,N/A,"divide and conquer, dp"
Go Learn! (Easy Version),2035,G1,N/A,"dp, trees"
Tree Operations,2035,F,N/A,"binary search, brute force, dfs and similar, dp, trees"
Monster,2035,E,N/A,"binary search, brute force, constructive algorithms, greedy, implementation, math, ternary search"
Yet Another Real Number Problem,2035,D,N/A,"binary search, data structures, divide and conquer, greedy, implementation, math"
Alya and Permutation,2035,C,N/A,"bitmasks, constructive algorithms, math"
Everyone Loves Tres,2035,B,N/A,"constructive algorithms, greedy, math, number theory"
Sliding,2035,A,N/A,"implementation, math"
Rayan vs. Rayaneh,2034,H,N/A,"brute force, dfs and similar, dp, number theory"
Simurgh's Watch (Hard Version),2034,G2,N/A,"greedy, implementation"
Simurgh's Watch (Easy Version),2034,G1,N/A,"constructive algorithms, greedy, implementation, sortings"
Khayyam's Royal Decree (Hard Version),2034,F2,N/A,"combinatorics, dp, math, sortings"
Khayyam's Royal Decree (Easy Version),2034,F1,N/A,"combinatorics, dp, math, sortings"
Permutations Harmony,2034,E,N/A,"combinatorics, constructive algorithms, greedy, hashing, math"
Darius' Wisdom,2034,D,N/A,"constructive algorithms, greedy, implementation, sortings"
Trapped in the Witch's Labyrinth,2034,C,N/A,"constructive algorithms, dfs and similar, graphs, implementation"
Rakhsh's Revival,2034,B,N/A,"data structures, greedy, implementation, two pointers"
King Keykhosrow's Mystery,2034,A,N/A,"brute force, chinese remainder theorem, math, number theory"
Sakurako and Chefir,2033,G,N/A,"data structures, dfs and similar, dp, greedy, trees"
Kosuke's Sloth,2033,F,N/A,"brute force, math, number theory"
"Sakurako, Kosuke, and the Permutation",2033,E,N/A,"brute force, data structures, dfs and similar, dsu, graphs, greedy, math"
Kousuke's Assignment,2033,D,N/A,"data structures, dp, dsu, greedy, math"
Sakurako's Field Trip,2033,C,N/A,"dp, greedy, two pointers"
Sakurako and Water,2033,B,N/A,"brute force, constructive algorithms, greedy"
Sakurako and Kosuke,2033,A,N/A,"constructive algorithms, implementation, math"
Peanuts,2032,F,N/A,"combinatorics, dp, games, math"
Balanced,2032,E,N/A,"constructive algorithms, data structures, greedy, implementation, math"
Genokraken,2032,D,N/A,"constructive algorithms, data structures, graphs, greedy, implementation, interactive, trees, two pointers"
Trinity,2032,C,N/A,"binary search, math, sortings, two pointers"
Medians,2032,B,N/A,"constructive algorithms, greedy, implementation, math"
Circuit,2032,A,N/A,"greedy, implementation, math, number theory"
Penchick and Even Medians,2031,F,N/A,"binary search, constructive algorithms, interactive, probabilities"
Penchick and Chloe's Trees,2031,E,N/A,"data structures, dfs and similar, dp, greedy, implementation, math, sortings, trees"
Penchick and Desert Rabbit,2031,D,N/A,"binary search, data structures, dfs and similar, dp, dsu, greedy, implementation, two pointers"
Penchick and BBQ Buns,2031,C,N/A,"constructive algorithms, math, number theory"
Penchick and Satay Sticks,2031,B,N/A,"brute force, greedy, sortings"
Penchick and Modern Monument,2031,A,N/A,"constructive algorithms, dp, greedy, math"
The Destruction of the Universe (Hard Version),2030,G2,N/A,"combinatorics, math"
The Destruction of the Universe (Easy Version),2030,G1,N/A,"combinatorics, greedy, math"
Orangutan Approved Subarrays,2030,F,N/A,"binary search, data structures, dp, greedy, implementation, two pointers"
MEXimize the Score,2030,E,N/A,"combinatorics, data structures, dp, greedy, implementation, math"
QED's Favorite Permutation,2030,D,N/A,"data structures, implementation, sortings"
A TRUE Battle,2030,C,N/A,"brute force, games, greedy"
Minimise Oneness,2030,B,N/A,"combinatorics, constructive algorithms, games, math"
A Gift From Orangutan,2030,A,N/A,"constructive algorithms, greedy, math, sortings"
Variance Challenge,2029,I,N/A,"flows, graphs, greedy"
Message Spread,2029,H,N/A,"bitmasks, brute force, combinatorics, dp"
Balanced Problem,2029,G,N/A,"data structures, dp"
Palindrome Everywhere,2029,F,N/A,"constructive algorithms, graphs, greedy"
Common Generator,2029,E,N/A,"brute force, constructive algorithms, math, number theory"
Cool Graph,2029,D,N/A,"constructive algorithms, data structures, dfs and similar, dsu, graphs, greedy, trees"
New Rating,2029,C,N/A,"binary search, data structures, dp, greedy"
Replacement,2029,B,N/A,"constructive algorithms, games, strings"
Set,2029,A,N/A,"greedy, math"
Alice's Adventures in Addition,2028,F,N/A,"bitmasks, brute force, dp, implementation"
Alice's Adventures in the Rabbit Hole,2028,E,N/A,"combinatorics, dfs and similar, dp, games, greedy, math, probabilities, trees"
Alice's Adventures in Cards,2028,D,N/A,"constructive algorithms, data structures, dp, graphs, greedy, implementation, ternary search"
Alice's Adventures in Cutting Cake,2028,C,N/A,"binary search, dp, greedy, two pointers"
Alice's Adventures in Permuting,2028,B,N/A,"binary search, implementation, math"
Alice's Adventures in ''Chess'',2028,A,N/A,"brute force, implementation, math"
Bit Game (Hard Version),2027,E2,N/A,"bitmasks, dp, math"
Bit Game (Easy Version),2027,E1,N/A,"bitmasks, brute force, games, math"
The Endspeaker (Hard Version),2027,D2,N/A,"binary search, data structures, dp, greedy, implementation, two pointers"
The Endspeaker (Easy Version),2027,D1,N/A,"binary search, dp, graphs, greedy, implementation, two pointers"
Add Zeros,2027,C,N/A,"brute force, data structures, dfs and similar, dp, graphs, greedy"
Stalin Sort,2027,B,N/A,"brute force, greedy"
Rectangle Arrangement,2027,A,N/A,"geometry, implementation, math"
Bermart Ice Cream,2026,F,N/A,"data structures, dfs and similar, divide and conquer, dp, implementation, trees"
Best Subsequence,2026,E,N/A,"bitmasks, dfs and similar, flows, graph matchings, graphs"
Sums of Segments,2026,D,N/A,"binary search, data structures, dp, implementation, math"
Action Figures,2026,C,N/A,"binary search, brute force, constructive algorithms, data structures, greedy, implementation"
Black Cells,2026,B,N/A,"binary search, brute force, constructive algorithms, greedy"
Perpendicular Segments,2026,A,N/A,"constructive algorithms, geometry, greedy, math"
Variable Damage,2025,G,N/A,"data structures, flows"
Choose Your Queries,2025,F,N/A,"constructive algorithms, dfs and similar, dp, graphs, greedy, trees"
Card Game,2025,E,N/A,"combinatorics, dp, fft, greedy, math"
Attribute Checks,2025,D,N/A,"brute force, data structures, dp, implementation, math, two pointers"
New Game,2025,C,N/A,"binary search, brute force, greedy, implementation, sortings, two pointers"
"Binomial Coefficients, Kind Of",2025,B,N/A,"combinatorics, dp, math"
Two Screens,2025,A,N/A,"binary search, greedy, strings, two pointers"
Buying Lemonade,2024,B,N/A,"binary search, constructive algorithms, sortings"
Profitable Interest Rate,2024,A,N/A,"greedy, math"
Hills and Pits,2023,F,N/A,"data structures, greedy, math, matrices"
Tree of Life,2023,E,N/A,"dp, greedy, trees"
Many Games,2023,D,N/A,"brute force, dp, greedy, math, probabilities"
C+K+S,2023,C,N/A,"constructive algorithms, dfs and similar, graphs, greedy, hashing, implementation, strings"
Skipping,2023,B,N/A,"binary search, dp, graphs, shortest paths"
Concatenation of Arrays,2023,A,N/A,"constructive algorithms, greedy, math, sortings"
Billetes MX (Hard Version),2022,E2,N/A,"binary search, combinatorics, data structures, dsu, graphs"
Billetes MX (Easy Version),2022,E1,N/A,"2-sat, binary search, combinatorics, constructive algorithms, dfs and similar, dsu, graphs"
Asesino (Hard Version),2022,D2,N/A,"constructive algorithms, dp, interactive"
Asesino (Easy Version),2022,D1,N/A,"binary search, brute force, constructive algorithms, implementation, interactive"
Gerrymandering,2022,C,N/A,"dp, implementation"
Kar Salesman,2022,B,N/A,"binary search, greedy, math"
Bus to Pénjamo,2022,A,N/A,"constructive algorithms, greedy, implementation, math"
Digital Village (Extreme Version),2021,E3,N/A,"data structures, dfs and similar, dp, dsu, graphs, greedy, math, trees"
